Date,Open,High,Low,Close,Volume,Adj Close
9/20/2010,1126.56,1144.85,1126.56,1142.7,336.4,1142.7
9/21/2010,1142.81,1148.58,1136.21,1139.78,417.56,1139.78
9/22/2010,1139.48,1144.38,1131.57,1134.28,391.1,1134.28
9/23/2010,1131.09,1136.77,1122.79,1124.82,384.78,1124.82
9/24/2010,1131.68,1148.9,1131.68,1148.67,412.39,1148.67
9/27/2010,1148.64,1149.92,1142,1142.16,358.78,1142.16
9/28/2010,1142.31,1150,1132.08,1147.69,402.58,1147.69
9/29/2010,1146.75,1148.63,1140.26,1144.72,399.02,1144.72
9/30/2010,1145.96,1157.16,1136.07,1141.19,428.41,1141.19
10/1/2010,1143.48,1150.3,1139.42,1146.23,429.89,1146.23
10/4/2010,1144.95,1148.16,1131.86,1137.03,360.41,1137.03
10/5/2010,1140.68,1162.76,1140.68,1160.75,406.88,1160.75
10/6/2010,1159.81,1162.32,1154.84,1159.96,407.31,1159.96
10/7/2010,1161.56,1163.86,1151.41,1158.06,391.05,1158.06
10/8/2010,1158.35,1167.72,1155.57,1165.15,387.14,1165.15
10/11/2010,1165.31,1168.68,1162.02,1165.31,250.59,1165.31
10/12/2010,1164.28,1172.57,1155.7,1169.77,407.61,1169.77
10/13/2010,1171.31,1184.38,1171.31,1178.09,496.94,1178.09
10/14/2010,1177.81,1178.89,1166.7,1173.81,496.94,1173.81
10/15/2010,1177.46,1181.19,1167.11,1176.18,572.49,1176.18
10/18/2010,1176.82,1185.53,1174.55,1184.7,445,1184.7
10/19/2010,1178.64,1178.64,1159.7,1165.9,560.01,1165.9
10/20/2010,1166.73,1182.93,1166.73,1178.17,502.78,1178.17
10/21/2010,1179.81,1189.43,1171.17,1180.26,462.54,1180.26
10/22/2010,1180.52,1183.93,1178.98,1183.07,317.78,1183.07
10/25/2010,1184.73,1196.14,1184.73,1185.61,422.13,1185.61
10/26/2010,1184.88,1187.1,1177.71,1185.64,420.36,1185.64
10/27/2010,1183.83,1183.83,1171.69,1182.44,433.56,1182.44
10/28/2010,1184.46,1189.53,1177.09,1183.78,428.34,1183.78
10/29/2010,1183.86,1185.45,1179.69,1183.26,353.78,1183.26
11/1/2010,1185.7,1195.81,1177.65,1184.38,412.91,1184.38
